t,idx,x,y
0.00,0,-925.515346,260.689819
0.00,1,196.321308,451.804853
0.00,2,-912.222655,369.329911
0.00,3,-308.805831,218.038958
0.00,4,91.764508,192.545872
0.00,5,-446.480088,415.600873
0.00,6,-384.715680,454.370678
0.00,7,96.875983,658.831971
0.00,8,-614.259011,488.541926
0.00,9,31.628359,291.630142
0.00,10,-1057.445764,668.346463
0.00,11,-591.998553,303.398179
0.00,12,338.092566,453.465531
0.00,13,-320.941858,557.566495
0.00,14,-1012.210313,520.869962
0.00,15,-473.105299,179.917833
0.00,16,-24.361052,645.105949
0.00,17,-734.982295,478.327952
0.00,18,-592.371857,540.123373
0.00,19,72.306529,250.676131
0.00,20,241.175018,493.580569
0.00,21,10.595310,583.464579
0.00,22,-387.937344,549.502705
0.00,23,317.351414,186.263703
0.00,24,272.341823,347.637132
0.00,25,-307.814108,210.621091
0.00,26,35.093370,291.219451
0.00,27,305.843378,282.030785
0.00,28,-179.071136,350.807457
0.00,29,-98.965530,238.459331
0.00,30,-777.157264,542.947726
0.00,31,119.427349,443.402048
0.00,32,384.131715,243.515021
0.00,33,274.117615,223.156954
0.00,34,451.975733,474.787637
0.00,35,-108.411612,666.740788
0.00,36,173.995492,566.775208
0.00,37,-974.982595,334.000966
0.00,38,-926.697959,236.737361
0.00,39,-724.517066,604.806824
0.00,40,-861.076586,293.864199
0.00,41,-287.179290,599.725837
0.00,42,453.345372,521.522786
0.00,43,-724.798881,431.230068
0.00,44,46.901864,158.352015
0.00,45,6.026071,333.445099
0.00,46,-135.349008,500.155467
0.00,47,-10.836424,419.092556
0.00,48,-190.157874,239.295216
0.00,49,-283.510385,199.041294
0.00,50,-306.147593,426.394657
0.00,51,153.729315,347.491844
0.00,52,-1029.055435,421.693589
0.00,53,-738.052776,539.847143
0.00,54,-450.447701,340.191693
0.00,55,365.907847,347.107597
0.00,56,-512.910996,322.232200
0.00,57,-306.118485,181.267777
0.00,58,-202.683287,639.551882
0.00,59,-177.327388,541.315119
0.00,60,424.985733,595.661154
0.00,61,106.546005,579.639522
0.00,62,225.894009,270.066886
0.00,63,-304.241282,319.297567
0.00,64,-649.480349,445.933105
0.00,65,-561.453727,472.000650
0.00,66,-146.767253,187.414236
0.00,67,-366.233884,345.383463
0.00,68,47.988809,178.412677
0.00,69,-794.917538,413.308318
0.00,70,-425.527851,497.838632
0.00,71,-537.985086,238.780038
0.00,72,401.008436,264.611152
